"customer_id","store_id","first_name","last_name","email","address_id","activebool","create_date","last_update","active"
29,2,"Angela","Hernandez","angela.hernandez@sakilacustomer.org",33,True,"2006-02-14","2013-05-26 14:49:45.738",1
32,1,"Amy","Lopez","amy.lopez@sakilacustomer.org",36,True,"2006-02-14","2013-05-26 14:49:45.738",1
33,2,"Anna","Hill","anna.hill@sakilacustomer.org",37,True,"2006-02-14","2013-05-26 14:49:45.738",1
40,2,"Amanda","Carter","amanda.carter@sakilacustomer.org",44,True,"2006-02-14","2013-05-26 14:49:45.738",1
48,1,"Ann","Evans","ann.evans@sakilacustomer.org",52,True,"2006-02-14","2013-05-26 14:49:45.738",1
51,1,"Alice","Stewart","alice.stewart@sakilacustomer.org",55,True,"2006-02-14","2013-05-26 14:49:45.738",1
63,1,"Ashley","Richardson","ashley.richardson@sakilacustomer.org",67,True,"2006-02-14","2013-05-26 14:49:45.738",1
81,1,"Andrea","Henderson","andrea.henderson@sakilacustomer.org",85,True,"2006-02-14","2013-05-26 14:49:45.738",1
85,2,"Anne","Powell","anne.powell@sakilacustomer.org",89,True,"2006-02-14","2013-05-26 14:49:45.738",1
97,2,"Annie","Russell","annie.russell@sakilacustomer.org",101,True,"2006-02-14","2013-05-26 14:49:45.738",1
136,2,"Anita","Morales","anita.morales@sakilacustomer.org",140,True,"2006-02-14","2013-05-26 14:49:45.738",1
139,1,"Amber","Dixon","amber.dixon@sakilacustomer.org",143,True,"2006-02-14","2013-05-26 14:49:45.738",1
142,1,"April","Burns","april.burns@sakilacustomer.org",146,True,"2006-02-14","2013-05-26 14:49:45.738",1
152,1,"Alicia","Mills","alicia.mills@sakilacustomer.org",156,True,"2006-02-14","2013-05-26 14:49:45.738",1
173,1,"Audrey","Ray","audrey.ray@sakilacustomer.org",177,True,"2006-02-14","2013-05-26 14:49:45.738",1
175,1,"Annette","Olson","annette.olson@sakilacustomer.org",179,True,"2006-02-14","2013-05-26 14:49:45.738",1
181,2,"Ana","Bradley","ana.bradley@sakilacustomer.org",185,True,"2006-02-14","2013-05-26 14:49:45.738",1
196,1,"Alma","Austin","alma.austin@sakilacustomer.org",200,True,"2006-02-14","2013-05-26 14:49:45.738",1
217,2,"Agnes","Bishop","agnes.bishop@sakilacustomer.org",221,True,"2006-02-14","2013-05-26 14:49:45.738",1
225,1,"Arlene","Harvey","arlene.harvey@sakilacustomer.org",229,True,"2006-02-14","2013-05-26 14:49:45.738",1
228,2,"Allison","Stanley","allison.stanley@sakilacustomer.org",232,True,"2006-02-14","2013-05-26 14:49:45.738",1
320,2,"Anthony","Schwab","anthony.schwab@sakilacustomer.org",325,True,"2006-02-14","2013-05-26 14:49:45.738",1
333,2,"Andrew","Purdy","andrew.purdy@sakilacustomer.org",338,True,"2006-02-14","2013-05-26 14:49:45.738",1
346,1,"Arthur","Simpkins","arthur.simpkins@sakilacustomer.org",351,True,"2006-02-14","2013-05-26 14:49:45.738",1
352,1,"Albert","Crouse","albert.crouse@sakilacustomer.org",357,True,"2006-02-14","2013-05-26 14:49:45.738",1
367,1,"Adam","Gooch","adam.gooch@sakilacustomer.org",372,True,"2006-02-14","2013-05-26 14:49:45.738",1
375,2,"Aaron","Selby","aaron.selby@sakilacustomer.org",380,True,"2006-02-14","2013-05-26 14:49:45.738",1
389,1,"Alan","Kahn","alan.kahn@sakilacustomer.org",394,True,"2006-02-14","2013-05-26 14:49:45.738",1
398,1,"Antonio","Meek","antonio.meek@sakilacustomer.org",403,True,"2006-02-14","2013-05-26 14:49:45.738",1
412,2,"Allen","Butterfield","allen.butterfield@sakilacustomer.org",417,True,"2006-02-14","2013-05-26 14:49:45.738",1
423,2,"Alfred","Casillas","alfred.casillas@sakilacustomer.org",428,True,"2006-02-14","2013-05-26 14:49:45.738",1
439,2,"Alexander","Fennell","alexander.fennell@sakilacustomer.org",444,True,"2006-02-14","2013-05-26 14:49:45.738",1
454,2,"Alex","Gresham","alex.gresham@sakilacustomer.org",459,True,"2006-02-14","2013-05-26 14:49:45.738",1
467,2,"Alvin","Deloach","alvin.deloach@sakilacustomer.org",472,True,"2006-02-14","2013-05-26 14:49:45.738",1
503,1,"Angel","Barclay","angel.barclay@sakilacustomer.org",508,True,"2006-02-14","2013-05-26 14:49:45.738",1
515,1,"Andre","Rapp","andre.rapp@sakilacustomer.org",521,True,"2006-02-14","2013-05-26 14:49:45.738",1
522,2,"Arnold","Havens","arnold.havens@sakilacustomer.org",528,True,"2006-02-14","2013-05-26 14:49:45.738",1
525,2,"Adrian","Clary","adrian.clary@sakilacustomer.org",531,True,"2006-02-14","2013-05-26 14:49:45.738",1
548,1,"Allan","Cornish","allan.cornish@sakilacustomer.org",554,True,"2006-02-14","2013-05-26 14:49:45.738",1
556,2,"Armando","Gruber","armando.gruber@sakilacustomer.org",562,True,"2006-02-14","2013-05-26 14:49:45.738",1
567,2,"Alfredo","Mcadams","alfredo.mcadams@sakilacustomer.org",573,True,"2006-02-14","2013-05-26 14:49:45.738",1
568,2,"Alberto","Henning","alberto.henning@sakilacustomer.org",574,True,"2006-02-14","2013-05-26 14:49:45.738",1
582,2,"Andy","Vanhorn","andy.vanhorn@sakilacustomer.org",588,True,"2006-02-14","2013-05-26 14:49:45.738",1
599,2,"Austin","Cintron","austin.cintron@sakilacustomer.org",605,True,"2006-02-14","2013-05-26 14:49:45.738",1
